form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
a1,I,0a. A1 Participant Demographics - Form date,FRMDATEA1,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,
a1,I,0b. A1 Participant Demographics - Examiner's initials,INITIALSA1,No,text,,String,
a1,I,0c. A1 Participant Demographics - Language,LANGA1,Always,Integers 1-2,"1, English|2, Spanish",Integer,
a1,I,0d. A1 Participant Demographics - In-person or remote?,MODEA1,Always,Integers 1-2,"1, In-person|2, Remote",Integer,
a1,I,"0d1. If 'A1 Participant Demographics' form was completed remotely, specify reason",RMREASA1,Condtional,Integers 1-5,"1, Too cognitively impaired|2, Too physically impaired|3, Homebound or nursing home|4, Refused in-person visit|5, Other",Integer,[modea1]='2'
a1,I,0d1a. What modality was used to collect this remote 'A1 Participant Demographics' form?,RMMODEA1,Condtional,Integers 1-2,"1, Telephone|2, Video",Integer,[modea1]='2'
a1,I,1a. Participant's month of birth,BIRTHMO,Always,Integers 1-12,"1, 1 - January|2, 2 - February|3, 3 - March|4, 4 - April|5, 5 - May|6, 6 - June|7, 7 - July|8, 8 - August|9, 9 - September|10, 10 - October|11, 11 - November|12, 12 - December",Integer,
a1,I,1b. Participant's year of birth,BIRTHYR,Always,1850 - current year minus 15,"1850 to current year minus 15
9999 = Unknown",Integer,
a1,I,2. In which country or region did you spend most of your childhood?,CHLDHDCTRY,Always,text,"AFG, AFG - Afghanistan|XQZ, XQZ - Akrotiri|ALB, ALB - Albania|DZA, DZA - Algeria|ASM, ASM - American Samoa|AND, AND - Andorra|AGO, AGO - Angola|AIA, AIA - Anguilla|ATA, ATA - Antarctica|ATG, ATG - Antigua and Barbuda|ARG, ARG - Argentina|ARM, ARM - Armenia|ABW, ABW - Aruba|XAC, XAC - Ashmore and Cartier Islands|AUS, AUS - Australia|AUT, AUT - Austria|AZE, AZE - Azerbaijan|BHS, BHS - The Bahamas|BHR, BHR - Bahrain|XBK, XBK - Baker Island|BGD, BGD - Bangladesh|BRB, BRB - Barbados|XBI, XBI - Bassas da India|BLR, BLR - Belarus|BEL, BEL - Belgium|BLZ, BLZ - Belize|BEN, BEN - Benin|BMU, BMU - Bermuda|BTN, BTN - Bhutan|BOL, BOL - Bolivia|BES, BES - Bonaire, Sint Eustatius, and Saba|BIH, BIH - Bosnia and Herzegovina|BWA, BWA - Botswana|BVT, BVT - Bouvet Island|BRA, BRA - Brazil|IOT, IOT - British Indian Ocean Territory|BRN, BRN - Brunei|BGR, BGR - Bulgaria|BFA, BFA - Burkina Faso|MMR, MMR - Burma|BDI, BDI - Burundi|KHM, KHM - Cambodia|CMR, CMR - Cameroon|CAN, CAN - Canada|CPV, CPV - Cabo Verde|CYM, CYM - Cayman Islands|CAF, CAF - Central African Republic|TCD, TCD - Chad|CHL, CHL - Chile|CHN, CHN - China|CXR, CXR - Christmas Island|CPT, CPT - Clipperton Island|CCK, CCK - Cocos (Keeling) Islands|COL, COL - Colombia|COM, COM - Comoros|COG, COG - Congo (Brazzaville)|COD, COD - Congo (Kinshasa)|COK, COK - Cook Islands|XCS, XCS - Coral Sea Islands|CRI, CRI - Costa Rica|CIV, CIV - C̫te dIvoire|HRV, HRV - Croatia|CUB, CUB - Cuba|CUW, CUW - Cura̤ao|CYP, CYP - Cyprus|CZE, CZE - Czech Republic|DNK, DNK - Denmark|XXD, XXD - Dhekelia|DGA, DGA - Diego Garcia|DJI, DJI - Djibouti|DMA, DMA - Dominica|DOM, DOM - Dominican Republic|ECU, ECU - Ecuador|EGY, EGY - Egypt|SLV, SLV - El Salvador|GNQ, GNQ - Equatorial Guinea|ERI, ERI - Eritrea|EST, EST - Estonia|ETH, ETH - Ethiopia|XEU, XEU - Europa Island|FLK, FLK - Falkland Islands (Islas Malvinas)|FRO, FRO - Faroe Islands|FJI, FJI - Fiji|FIN, FIN - Finland|FRA, FRA - France|GUF, GUF - French Guiana|PYF, PYF - French Polynesia|ATF, ATF - French Southern and Antarctic Lands|GAB, GAB - Gabon|GMB, GMB - The Gambia|XGZ, XGZ - Gaza Strip|GEO, GEO - Georgia|DEU, DEU - Germany|GHA, GHA - Ghana|GIB, GIB - Gibraltar|XGL, XGL - Glorioso Islands|GRC, GRC - Greece|GRL, GRL - Greenland|GRD, GRD - Grenada|GLP, GLP - Guadeloupe|GUM, GUM - Guam|AX2, AX2 - Guantanamo Bay Naval Base|GTM, GTM - Guatemala|GGY, GGY - Guernsey|GIN, GIN - Guinea|GNB, GNB - Guinea-Bissau|GUY, GUY - Guyana|HTI, HTI - Haiti|HMD, HMD - Heard Island and McDonald Islands|HND, HND - Honduras|HKG, HKG - Hong Kong|XHO, XHO - Howland Island|HUN, HUN - Hungary|ISL, ISL - Iceland|IND, IND - India|IDN, IDN - Indonesia|IRN, IRN - Iran|IRQ, IRQ - Iraq|IRL, IRL - Ireland|IMN, IMN - Isle of Man|ISR, ISR - Israel|ITA, ITA - Italy|JAM, JAM - Jamaica|XJM, XJM - Jan Mayen|JPN, JPN - Japan|XJV, XJV - Jarvis Island|JEY, JEY - Jersey|XJA, XJA - Johnston Atoll|JOR, JOR - Jordan|XJN, XJN - Juan de Nova Island|KAZ, KAZ - Kazakhstan|KEN, KEN - Kenya|XKR, XKR - Kingman Reef|KIR, KIR - Kiribati|PRK, PRK - North Korea|KOR, KOR - South Korea|XKS, XKS - Kosovo|KWT, KWT - Kuwait|KGZ, KGZ - Kyrgyzstan|LAO, LAO - Laos|LVA, LVA - Latvia|LBN, LBN - Lebanon|LSO, LSO - Lesotho|LBR, LBR - Liberia|LBY, LBY - Libya|LIE, LIE - Liechtenstein|LTU, LTU - Lithuania|LUX, LUX - Luxembourg|MAC, MAC - Macau|MKD, MKD - North Macedonia|MDG, MDG - Madagascar|MWI, MWI - Malawi|MYS, MYS - Malaysia|MDV, MDV - Maldives|MLI, MLI - Mali|MLT, MLT - Malta|MHL, MHL - Marshall Islands|MTQ, MTQ - Martinique|MRT, MRT - Mauritania|MUS, MUS - Mauritius|MYT, MYT - Mayotte|MEX, MEX - Mexico|FSM, FSM - Federated States of Micronesia|XMW, XMW - Midway Islands|MDA, MDA - Moldova|MCO, MCO - Monaco|MNG, MNG - Mongolia|MNE, MNE - Montenegro|MSR, MSR - Montserrat|MAR, MAR - Morocco|MOZ, MOZ - Mozambique|NAM, NAM - Namibia|NRU, NRU - Nauru|XNV, XNV - Navassa Island|NPL, NPL - Nepal|NLD, NLD - Netherlands|NCL, NCL - New Caledonia|NZL, NZL - New Zealand|NIC, NIC - Nicaragua|NER, NER - Niger|NGA, NGA - Nigeria|NIU, NIU - Niue|NFK, NFK - Norfolk Island|MNP, MNP - Northern Mariana Islands|NOR, NOR - Norway|OMN, OMN - Oman|PAK, PAK - Pakistan|PLW, PLW - Palau|XPL, XPL - Palmyra Atoll|PAN, PAN - Panama|PNG, PNG - Papua New Guinea|XPR, XPR - Paracel Islands|PRY, PRY - Paraguay|PER, PER - Peru|PHL, PHL - Philippines|PCN, PCN - Pitcairn Islands|POL, POL - Poland|PRT, PRT - Portugal|PRI, PRI - Puerto Rico|QAT, QAT - Qatar|REU, REU - Reunion|ROU, ROU - Romania|RUS, RUS - Russia|RWA, RWA - Rwanda|BLM, BLM - Saint Barthelemy|SHN, SHN - Saint Helena, Ascension, and Tristan da Cunha|KNA, KNA - Saint Kitts and Nevis|LCA, LCA - Saint Lucia|MAF, MAF - Saint Martin|SPM, SPM - Saint Pierre and Miquelon|VCT, VCT - Saint Vincent and the Grenadines|WSM, WSM - Samoa|SMR, SMR - San Marino|STP, STP - Sao Tome and Principe|SAU, SAU - Saudi Arabia|SEN, SEN - Senegal|SRB, SRB - Serbia|SYC, SYC - Seychelles|SLE, SLE - Sierra Leone|SGP, SGP - Singapore|SXM, SXM - Sint Maarten|SVK, SVK - Slovakia|SVN, SVN - Slovenia|SLB, SLB - Solomon Islands|SOM, SOM - Somalia|ZAF, ZAF - South Africa|SGS, SGS - South Georgia and South Sandwich Islands|SSD, SSD - South Sudan|ESP, ESP - Spain|XSP, XSP - Spratly Islands|LKA, LKA - Sri Lanka|SDN, SDN - Sudan|SUR, SUR - Suriname|XSV, XSV - Svalbard|SWE, SWE - Sweden|CHE, CHE - Switzerland|SYR, SYR - Syria|TWN, TWN - Taiwan|TJK, TJK - Tajikistan|TZA, TZA - Tanzania|THA, THA - Thailand|TLS, TLS - Timor-Leste|TGO, TGO - Togo|TKL, TKL - Tokelau|TON, TON - Tonga|TTO, TTO - Trinidad and Tobago|XTR, XTR - Tromelin Island|TUN, TUN - Tunisia|TUR, TUR - Turkey|TKM, TKM - Turkmenistan|TCA, TCA - Turks and Caicos Islands|TUV, TUV - Tuvalu|UGA, UGA - Uganda|UKR, UKR - Ukraine|ARE, ARE - United Arab Emirates|GBR, GBR - United Kingdom|USA, USA - United States|AX1, AX1 - Unknown|URY, URY - Uruguay|UZB, UZB - Uzbekistan|VUT, VUT - Vanuatu|VAT, VAT - Vatican City|VEN, VEN - Venezuela|VNM, VNM - Vietnam|VGB, VGB - British Virgin Islands|VIR, VIR - U.S. Virgin Islands|XWK, XWK - Wake Island|WLF, WLF - Wallis and Futuna|XWB, XWB - West Bank|ESH, ESH - Western Sahara|YEM, YEM - Yemen|ZMB, ZMB - Zambia|ZWE, ZWE - Zimbabwe",String,
a1,I,3a. Race--American Indian or Alaska Native,RACEAIAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3a1. Race--American Indian or Alaska Native (Specify),RACEAIANX,Conditional (e.g. skip pattern),text,,String,
a1,I,3b. Race--Asian,RACEASIAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b1. Race--Asian--Chinese,ETHCHINESE,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b2. Race--Asian--Asian Indian,ETHINDIA,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b3. Race--Asian--Filipino,ETHFILIP,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b4. Race--Asian--Vietnamese,ETHVIETNAM,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b5. Race--Asian--Korean,ETHKOREAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b6. Race--Asian--Japanese,ETHJAPAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b7. Race--Asian--Other,ETHASNOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3b7a. Race--Asian--Other (Specify),ETHASNOTHX,Conditional (e.g. skip pattern),text,,String,
a1,I,3c. Race--Black or African American,RACEBLACK,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c1. Race--Black or African American--African American,ETHAFAMER,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c2. Race--Black or African American--Jamaican,ETHJAMAICA,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c3. Race--Black or African American--Haitian,ETHHAITIAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c4. Race--Black or African American--Nigerian,ETHNIGERIA,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c5. Race--Back or African American--Ethiopian,ETHETHIOP,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c6. Race--Black or African American--Somali,ETHSOMALI,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c7. Race--Black or African American--Other,ETHBLKOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3c7a. Race--Black or African American--Other (Specify),ETHBLKOTHX,Conditional (e.g. skip pattern),text,,String,
a1,I,3d. Race--Hispanic or Latino,ETHISPANIC,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d1. Race--Hispanic or Latino--Mexican,ETHMEXICAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d2. Race--Hispanic or Latino--Puerto Rican,ETHPUERTO,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d3. Race--Hispanic or Latino--Salvadoran,ETHSALVA,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d4. Race--Hispanic or Latino--Cuban,ETHCUBAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d5. Race--Hispanic or Latino--Dominican,ETHDOMIN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d6. Race--Hispanic or Latino--Guatemalan,ETHGUATEM,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d7. Race--Hispanic or Latino--Other,ETHHISOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3d7a. Race--Hispanic or Latino--Other (Specify),ETHHISOTHX,Conditional (e.g. skip pattern),text,,String,
a1,I,3e. Race--Middle Eastern or North African,RACEMENA,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e1. Race--Middle Eastern or North African--Lebanese,ETHLEBANON,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e2. Race--Middle Eastern or North African--Iranian,ETHIRAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e3. Race--Middle Eastern or North African--Egyptian,ETHEGYPT,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e4. Race--Middle Eastern or North African--Syrian,ETHSYRIA,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e5. Race--Middle Eastern or North African--Iraqi,ETHIRAQI,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e6. Race--Middle Eastern or North African--Israeli,ETHISRAEL,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e7. Race--Middle Eastern or North African--Other,ETHMENAOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3e7a. Race--Middle Eastern or North African--Other (Specify),ETHMENAOTX,Conditional (e.g. skip pattern),text,,String,
a1,I,3f. Race--Native Hawaiian or Pacific Islander,RACENHPI,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f1. Race--Native Hawaiian or Pacific Islander--Native Hawaiian,ETHHAWAII,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f2. Race--Native Hawaiian or Pacific Islander--Samoan,ETHSAMOAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f3. Race--Native Hawaiian or Pacific Islander--Chamorro,ETHCHAMOR,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f4. Race--Native Hawaiian or Pacific Islander--Tongan,ETHTONGAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f5. Race--Native Hawaiian or Pacific Islander--Fijian,ETHFIJIAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f6. Race--Native Hawaiian or Pacific Islander--Marshallese,ETHMARSHAL,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f7. Race--Native Hawaiian or Pacific Islander--Other,ETHNHPIOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3f7a. Race--Native Hawaiian or Pacific Islander--Other (Specify),ETHNHPIOTX,Conditional (e.g. skip pattern),text,,String,
a1,I,3g. Race--White,RACEWHITE,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g3. Race--White--English,ETHENGLISH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g1. Race--White--German,ETHGERMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g2. Race--White--Irish,ETHIRISH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g4. Race--White--Italian,ETHITALIAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g5. Race--White--Polish,ETHPOLISH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g6. Race--White--Scottish,ETHSCOTT,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g7. Race--White--Other,ETHWHIOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,3g7a. Race--White--Other (specify),ETHWHIOTHX,Conditional (e.g. skip pattern),text,,String,
a1,I,3h. Race--Don't know,RACEUNKN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4a. Gender--Man,GENMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4b. Gender--Woman,GENWOMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4c. Gender--Transgender man,GENTRMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4d. Gender--Transgender woman,GENTRWOMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4e. Gender--Non-binary/genderqueer,GENNONBI,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4f. Gender--Two-spirit,GENTWOSPIR,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4g. Gender--I use a different term (specify),GENOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4g1. Gender--I use a different term specify,GENOTHX,Conditional (e.g. skip pattern),text,,String,
a1,I,4h. Gender--Don't know,GENDKN,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,4i. Gender--Prefer not to answer,GENNOANS,Conditional (e.g. skip pattern),1 or blank,,Integer,
a1,I,"5. What sex were you assigned at birth, on your original birth certificate?",BIRTHSEX,Always,"Integers 1-2,8, 9","1, Male|2, Female|9, Don't know|8, Prefer not to answer",Integer,
