Conformity/missingness checks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form ,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
A1a,I,OWNSCAR,OWNSCAR must be present,OWNSCAR cannot be blank,Q1. OWNSCAR (Owns a car?) cannot be blank,If OWNSCAR = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,OWNSCAR,OWNSCAR must conform,OWNSCAR must be an integer between 0 and 1,Q1. OWNSCAR (Owns a car?) must be an integer between 0 and 1,If OWNSCAR < 0 or OWNSCAR > 1,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRSPACCESS,TRSPACCESS must be present,TRSPACCESS cannot be blank,Q2. TRSPACCESS (Access to transportation?) cannot be blank,If TRSPACCESS = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRSPACCESS,TRSPACCESS must conform,TRSPACCESS must be an integer between 1 and 3,Q2. TRSPACCESS (Access to transportation?) must be an integer between 1 and 3,If TRSPACCESS < 1 or TRSPACCESS > 3,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRANSPROB,TRANSPROB must be present,TRANSPROB cannot be blank,Q3. TRANSPROB (Transportation problems in past month?) cannot be blank,If TRANSPROB = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRANSPROB,TRANSPROB must conform,TRANSPROB must be an integer between 1 and 3,Q3. TRANSPROB (Transportation problems in past month?) must be an integer between 1 and 3,If TRANSPROB < 1 or TRANSPROB > 3,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRANSWORRY,TRANSWORRY must be present,TRANSWORRY cannot be blank,Q4. TRANSWORRY (Transportation worries in past month?) cannot be blank,If TRANSWORRY = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRANSWORRY,TRANSWORRY must conform,TRANSWORRY must be an integer between 1 and 3,Q4. TRANSWORRY (Transportation worries in past month?) must be an integer between 1 and 3,If TRANSWORRY < 1 or TRANSWORRY > 3,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRSPLONGER,TRSPLONGER must be present,TRSPLONGER cannot be blank,Q5. TRSPLONGER (Transportation delays in past month?) cannot be blank,If TRSPLONGER = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,TRSPLONGER,TRSPLONGER must conform,TRSPLONGER must be an integer between 1 and 3,Q5. TRSPLONGER (Transportation delays in past month?) must be an integer between 1 and 3,If TRSPLONGER < 1 or TRSPLONGER > 3,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,FINSATIS,FINSATIS must be present,FINSATIS cannot be blank,Q6. FINSATIS (Satisfaction with personal finances?) cannot be blank,If FINSATIS = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,FINSATIS,FINSATIS must conform,FINSATIS must be an integer between 1 and 5,Q6. FINSATIS (Satisfaction with personal finances?) must be an integer between 1 and 5,If FINSATIS < 1 or FINSATIS > 5,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,BILLPAY,BILLPAY must be present,BILLPAY cannot be blank,Q7. BILLPAY (Difficulty with monthly payments?) cannot be blank,If BILLPAY = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,BILLPAY,BILLPAY must conform,BILLPAY must be an integer between 1 and 5,Q7. BILLPAY (Difficulty with monthly payments?) must be an integer between 1 and 5,If BILLPAY < 1 or BILLPAY > 5,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,FINUPSET,FINUPSET must be present,FINUPSET cannot be blank,Q8. FINUPSET (Upset with finances in past month?) cannot be blank,If FINUPSET = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,FINUPSET,FINUPSET must conform,FINUPSET must be an integer between 1 and 4,Q8. FINUPSET (Upset with finances in past month?) must be an integer between 1 and 4,If FINUPSET < 1 or FINUPSET > 4 ,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,EATLESS,EATLESS must be present,EATLESS cannot be blank,Q9. EATLESS (Eaten less food because of money?) cannot be blank,If EATLESS = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,EATLESS,EATLESS must conform,EATLESS must be an integer between 0 and 1,Q9. EATLESS (Eaten less food because of money?) must be an integer between 0 and 1,If EATLESS < 0 or EATLESS > 1,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,EATLESSYR,EATLESSYR must be present,EATLESSYR cannot be blank,Q10. EATLESSYR (Eaten less food because of money in past year?) cannot be blank,If EATLESSYR = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,EATLESSYR,EATLESSYR must conform,EATLESSYR must be an integer between 0 and 1,Q10. EATLESSYR (Eaten less food because of money in past year?) must be an integer between 0 and 1,If EATLESSYR < 0 or EATLESSYR > 1,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,LESSMEDS,LESSMEDS must be present,LESSMEDS cannot be blank,Q11. LESSMEDS (Taken less medication because of money?) cannot be blank,If LESSMEDS = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,LESSMEDS,LESSMEDS must conform,LESSMEDS must be an integer between 0 and 1,Q11. LESSMEDS (Taken less medication because of money?) must be an integer between 0 and 1,If LESSMEDS < 0 or LESSMEDS > 1,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,LESSMEDSYR,LESSMEDSYR must be present,LESSMEDSYR cannot be blank,Q12. LESSMEDSYR (Taken less medication because of money in past year?) cannot be blank,If LESSMEDSYR = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,LESSMEDSYR,LESSMEDSYR must conform,LESSMEDSYR must be an integer between 0 and 1,Q12. LESSMEDSYR (Taken less medication because of money in past year?) must be an integer between 0 and 1,If LESSMEDSYR < 0 or LESSMEDS > 1,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,COMPCOMM,COMPCOMM must be present,COMPCOMM cannot be blank,Q13a. COMPCOMM (How does participant compare to community?) cannot be blank,If COMPCOMM = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,COMPCOMM,COMPCOMM must conform,COMPCOMM must be an integer between 1 and 10,Q13a. COMPCOMM (How does participant compare to community?) must be an integer between 1 and 10,If COMPCOMM < 1 or COMPCOMM > 10,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,COMPUSA,COMPUSA must be present,COMPUSA cannot be blank,Q13b. COMPUSA (How does participant compare to others in the US?) cannot be blank,If COMPUSA = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,COMPUSA,COMPUSA must conform,COMPUSA must be an integer between 1 and 10,Q13b. COMPUSA (How does participant compare to others in the US?) must be an integer between 1 and 10,If COMPUSA < 1 or COMPUSA > 10,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,FAMCOMP,FAMCOMP must be present,FAMCOMP cannot be blank,Q13c. FAMCOMP (How did family compare to community?) cannot be blank,If FAMCOMP = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,FAMCOMP,FANCOMP must conform,FAMCOMP must be an integer between 1 and 10,Q13c. FAMCOMP (How did family compare to community?) must be an integer between 1 and 10,If FAMCOMP < 1 or FAMCOMP > 10,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GUARDEDU,GUARDEDU must be present,GUARDEDU cannot be blank,Q14. GUARDEDU (Guardian level of education?) cannot be blank,If GUARDEDU = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GUARDEDU,GUARDEDU must conform,GUARDEDU must be an integer between 1-6 or = 9,Q14. GUARDEDU (Guardian level of education?) must be an integer between 1 and 6 or 9,If GUARDEDU < 1 or GUARDEDU > 6 and ? 9,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GUARDREL,GUARDREL must be present,GUARDREL cannot be blank,Q14a. GUARDREL (Guardian relationship to participant?) cannot be blank,If GUARDREL = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GUARDREL,GUARDREL must conform,GUARDREL must be an integer between 1 and 6 or =8,Q14a. GUARDREL (Guardian relationship to participant?) must be an integer between 1 and 6 or 8 (Other),If GUARDREL <1 or (GUARDREL >6 and ne 8),n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GUARDRELX,GUARDRELX conditionally present,If GUARDREL=8 then GUARDRELX must be present,If Q14a. GUARDREL (Guardian relationship to participant?)=8 (Other) then Q14a1. GUARDRELX (Specify other relationship) must be present,IF GUARDREL=8 and GUARDRELX = blank,n/a,"GUARDREL, GUARDRELX",Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GUARDRELX,GUARDRELX conditionally blank,If GUARDREL does not = 8 then GUARDRELX must be blank,If Q14a. GUARDREL (Guardian relationship to participant?) does not equal 8 (Other) then Q14a1. GUARDRELX (Specify other relationship) must be blank,IF GUARDREL ne 8 and GUARDRELX not blank,n/a,"GUARDREL, GUARDRELX",Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GUARD2EDU,GUARD2EDU must be present,GUARD2EDU cannot be blank,Q15. GUARD2EDU (Second guardian level of education?) cannot be blank,If GUARD2EDU = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GUARD2EDU,GUARD2EDU must conform,GUARD2EDU must be an integer between 1-6 or 8-9,Q15. GUARD2EDU (Second guardian level of education?) must be an integer between 1 and 6 or 8 and 9,If GUARD2EDU < 1 or GUARD2EDU > 6 and ? 8 or 9,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GUARD2REL,GUARD2REL must conform,GUARD2REL must be an integer between 1 and 6 or =8,Q15a. GUARD2REL (Second guardian relationship to participant?) must be an integer between 1 and 6 or =8 (Other),If GUARD2REL <1 or (GUARD2REL >6 and ne 8),n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GUARD2REL,GUARD2REL conditionally present,If GUARD2EDU does not = 8 then GUARD2REL must be present,"If Q15. GUARD2EDU (Second guardian level of education?) does not equal 8 (No second person), then Q15a. GUARD2REL (Second guardian relationship to participant?) must be present",If GUARD2EDU ne  8 and GUARD2REL =blank,n/a,"GUARD2EDU, GUARD2REL",Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GUARD2REL,GUARD2REL conditionally blank,If GUARD2EDU = 8 then GUARD2REL must be blank,"If Q15. GUARD2EDU (Second guardian level of education?) = 8 (No second person), then Q15a. GUARD2REL (Second guardian relationship to participant?) must be blank",If GUARD2EDU = 8 and GUARD2REL ? blank,n/a,"GUARD2EDU, GUARD2REL",Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GUARD2RELX,GUARD2RELX conditionally present,If GUARD2REL=8 then GUARDRELX must be present,If Q15a. GUARD2REL (Second guardian relationship to participant?)=8 (Other) then Q15a1. GUARD2RELX (Specify other relationship) must be present,IF GUARD2REL=8 and GUARD2RELX = blank,n/a,"GUARD2REL, GUARD2RELX",Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GUARD2RELX,GUARD2RELX conditionally blank,If GUARD2REL does not = 8 then GUARDRELX must be blank,If Q15a. GUARD2REL (Second guardian relationship to participant?) does not equal 8 (Other) then Q15a1. GUARDRELX (Specify other relationship) must be blank,IF GUARD2REL ne 8 and GUARD2RELX not blank,n/a,"GUARD2REL, GUARD2RELX",Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,EMPTINESS,EMPTINESS must be present,EMPTINESS cannot be blank,Q16. EMPTINESS (Feel emptiness?) cannot be blank,If EMPTINESS = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,EMPTINESS,EMPTINESS must conform,EMPTINESS must be an integer between 1 and 5,Q16. EMPTINESS (Feel emptiness?) must be an integer between 1 and 5,If EMPTINESS < 1 or EMPTINESS > 5,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,MISSPEOPLE,MISSPEOPLE must be present,MISSPEOPLE cannot be blank,Q17. MISSPEOPLE (Misses people?) cannot be blank,If MISSPEOPLE = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,MISSPEOPLE,MISSPEOPLE must conform,MISSPEOPLE must be an integer between 1 and 5,Q17. MISSPEOPLE (Misses people?) must be an integer between 1 and 5,If MISSPEOPLE < 1 or MISSPEOPLE > 5,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,FRIENDS,FRIENDS must be present,FRIENDS cannot be blank,Q18. FRIENDS (Doesn't have enough friends?) cannot be blank,If FRIENDS = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,FRIENDS,FRIENDS must conform,FRIENDS must be an integer between 1 and 5,Q18. FRIENDS (Doesn't have enough friends?) must be an integer between 1 and 5,If FRIENDS < 1 or FRIENDS > 5,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,ABANDONED,ABANDONED must be present,ABANDONED cannot be blank,Q19. ABANDONED (Feels abandoned?) cannot be blank,If ABANDONED = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,ABANDONED,ABANDONED must conform,ABANDONED must be an integer between 1 and 5,Q19. ABANDONED (Feels abandoned?) must be an integer between 1 and 5,If ABANDONED < 1 or ABANDONED > 5,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GOODFRIEND,GOODFRIEND must be present,GOODFRIEND cannot be blank,Q20. GOODFRIEND (Misses having good friends?) cannot be blank,If GOODFRIEND = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,GOODFRIEND,GOODFRIEND must conform,GOODFRIEND must be an integer between 1 and 5,Q20. GOODFRIEND (Misses having good friends?) must be an integer between 1 and 5,If GOODFRIEND < 1 or GOODFRIEND > 5,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,PARENTCOMM,PARENTCOMM must be present,PARENTCOMM cannot be blank,Q21. PARENTCOMM (Frequency of communication with parents?) cannot be blank,If PARENTCOMM = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,PARENTCOMM,PARENTCOMM must conform,PARENTCOMM must be an integer between 0 and 5,Q21. PARENTCOMM (Frequency of communication with parents?) must be an integer between 0 and 5,If PARENTCOMM < 0 or PARENTCOMM > 5,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,CHILDCOMM,CHILDCOMM must be present,CHILDCOMM cannot be blank,Q22. CHILDCOMM (Frequency of communication with children?) cannot be blank,If CHILDCOMM = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
A1a,I,CHILDCOMM,CHILDCOMM must conform,CHILDCOMM must be an integer between 0 and 5,Q22. CHILDCOMM (Frequency of communication with children?) must be an integer between 0 and 5,If CHILDCOMM < 0 or CHILDCOMM > 5,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
